FlightDate,num_flights,avg_num_flights_prev_3_days
2018-07-01,39974,NULL
2018-07-02,39454,39974.0000
2018-07-03,35448,39714.0000
2018-07-04,33680,38292.0000
2018-07-05,39296,36194.0000
2018-07-06,40790,36141.3333
2018-07-07,37454,37922.0000
2018-07-08,42506,39180.0000
2018-07-09,43912,40250.0000
2018-07-10,43260,41290.6667
2018-07-11,43472,43226.0000
2018-07-12,43932,43548.0000
2018-07-13,44048,43554.6667
2018-07-14,37332,43817.3333
2018-07-15,42528,41770.6667
2018-07-16,43916,41302.6667
2018-07-17,43224,41258.6667
2018-07-18,43484,43222.6667
2018-07-19,43888,43541.3333
2018-07-20,44008,43532.0000
2018-07-21,37330,43793.3333
2018-07-22,42482,41742.0000
2018-07-23,43910,41273.3333
2018-07-24,43206,41240.6667
2018-07-25,43442,43199.3333
2018-07-26,43868,43519.3333
2018-07-27,43998,43505.3333
2018-07-28,37292,43769.3333
2018-07-29,42464,41719.3333
2018-07-30,43904,41251.3333
2018-07-31,43132,41220.0000
FlightDate,2,43166.6667
